item_id,jurisdiction,axis,test_type,bucket,rule_id,input,expected_label,arguable,authority_source,authority_clause,authority_url,rubric_true,rubric_false,rubric_arguable,source_ticket
001,uk,compliance,lesson,expired_figure,,"Your money is protected up to £85,000 if your bank, building society or credit union fails.",true,false,FSCS,Deposit limit protection increase,https://www.fscs.org.uk/what-we-cover/banks-building-societies-credit-unions/deposit-limit-increase/,"The figure is wrong against the named authority at the date the lesson is served. The £85,000 limit was right once and is now expired.","The figure is correct, or the slide carries a date that makes the old figure honest (e.g. ""as at 2023, the limit was £85,000"").","The slide cites a different authority that still publishes £85,000. No such authority exists for UK deposit protection today.",OPS-1451
002,uk,compliance,lesson,expired_figure,,"Your eligible deposits are protected up to £120,000 by the Financial Services Compensation Scheme.",false,false,FSCS,Deposit limit protection increase,https://www.fscs.org.uk/what-we-cover/banks-building-societies-credit-unions/deposit-limit-increase/,The figure is wrong. It is not.,The figure matches the authority. It does.,"The temporary-high-balance rule (up to £1.4m for 6 months) is not mentioned. The slide omits it, but the core figure is right. See item 019 for the completeness call.",OPS-1451
003,uk,compliance,lesson,hallucinated_fact,,"The FSCS protects your deposits up to £120,000 per authorised institution, so if you have accounts with two banks you are covered up to £240,000.",true,false,FSCS,Per-authorised-firm limit,https://www.fscs.org.uk/what-we-cover/banks-building-societies-credit-unions/deposit-limit-increase/,"The sentence was wrong the day it was written, not wrong because time passed. The per-institution framing was never the rule.","The sentence is right. A slide that says ""per authorised firm"" is right.","The slide uses ""institution"" but defines it as ""a firm with its own banking licence"". A defined term that matches the rule is not a finding.",OPS-1451
004,uk,compliance,lesson,expired_figure,,"The pension Annual Allowance is £40,000.",true,false,HMRC,Tax on your private pension,https://www.gov.uk/tax-on-your-private-pension/annual-allowance,"The figure is wrong against HMRC. £40,000 was right before April 2023.","The slide states £60,000, or carries a date that makes the old figure honest.","The slide mentions the taper for high earners. The figure itself is still stale, so the taper does not rescue it.",OPS-1451
005,uk,compliance,lesson,hallucinated_fact,,"The Lifetime Allowance for pensions is £1,073,100.",true,false,HMRC,Abolition of the Lifetime Allowance,https://www.gov.uk/government/publications/abolition-of-the-lifetime-allowance-from-6-april-2024/,The slide names a thing that no longer exists as if it still does. The Lifetime Allowance is gone.,"The slide uses the post-2024 vocabulary (lump sum allowance, overseas transfer allowance) correctly.","The slide says the allowance ""is being abolished"". That was right during 2023 and is wrong now. Mark it stale, not never-right, when the tense carries a date.",OPS-1451
006,uk,compliance,lesson,expired_figure,,National Insurance is charged at 12% on your earnings between £242 a week and £967 a week.,true,false,HMRC,National Insurance rates and categories,https://www.gov.uk/national-insurance-rates-letters,The rate is wrong. 12% was right before the January 2024 cut.,The rate matches HMRC. 8% is the current main rate.,"The slide states the old rate under a clear date label. A worked example labelled ""2023/24"" using 12% is honest. A worked example with no date using 12% is stale.",OPS-1451
007,uk,compliance,lesson,expired_figure,,The new State Pension is £230.25 a week.,true,false,DWP,The new State Pension,https://www.gov.uk/new-state-pension/what-youll-get,The figure is wrong. £230.25 was the 2025/26 rate.,"The figure is £241.30, or the slide carries a year label that makes the old figure honest.","The slide says ""as of 2026"" and gives a 2025/26 figure. That is a never-right fact, not a stale one, because the slide names the year and gets it wrong.",OPS-1451
008,uk,compliance,lesson,hallucinated_fact,,"If you earn over £50,000, the High Income Child Benefit Charge starts to reduce your Child Benefit.",true,true,HMRC,Child Benefit tax charge,https://www.gov.uk/child-benefit-tax-charge,"The figure was wrong the day it was written if the lesson was published after April 2024. If the lesson predates the change, this is a stale figure, not a never-right fact. Mark arguable when you cannot tell the lesson's publish date.","The figure is £60,000 and the taper to £80,000 is shown.","The slide gives no date and no threshold. That is a completeness gap, not a never-right fact.",OPS-1451
009,uk,compliance,lesson,product_recommendation,uk-conduct-advice-boundary,A stocks and shares ISA is the best place for your savings.,true,false,FSMA,s.19 and s.21,https://www.legislation.gov.uk/ukpga/2000/8/section/19,"The slide expresses an opinion or recommendation about a particular investment. ""A stocks and shares ISA is the best place"" is a recommendation.","The slide stays at the asset-class level with no opinion. ""Equities have historically returned more than cash over long periods"" is information if it carries the past-performance warning.","The slide compares asset classes and names a winner without naming a product. The line is persuasion: if the slide urges the member to act, it is advice; if it states a fact with a caveat, it is information.",OPS-1449
010,uk,compliance,lesson,product_recommendation,uk-conduct-financial-promotion,Don't leave your money losing value in cash — act now.,true,false,FSMA,s.21,https://www.legislation.gov.uk/ukpga/2000/8/section/21,"The slide urges the member to act on an investment. ""Act now"" is incitement.","The slide states a fact with no call to action. ""Inflation reduces the real value of cash over time"" is information.","The slide uses soft language. ""It might be worth reviewing your savings"" is close to the line. The test is whether a reasonable observer reads it as persuasion.",OPS-1449
